actor_id,movie_id
70,4656
71,28
71,97
71,140
71,146
71,184
71,474
71,712
71,947
71,1162
71,1166
71,1198
71,1299
71,1314
71,1378
71,1545
71,1728
71,1833
71,2360
71,2470
71,2612
71,2760
71,3266
71,3323
71,3332
71,3346
71,3496
71,3907
71,4155
71,4435
72,28
72,146
72,629
72,851
72,857
72,895
72,1175
72,1236
72,1416
72,1935
72,2135
72,2248
72,2365
72,2527
72,2531
72,2758
72,2765
72,2981
72,3047
72,3049
72,3160
72,3346
72,3365
72,3501
72,3993
73,29
73,61
73,71
73,280
73,376
73,407
73,413
73,415
73,687
73,868
73,931
73,1162
73,1351
73,1416
73,3051
73,3186
73,3649
73,4774
74,29
74,349
74,352
74,444
74,499
74,692
74,787
74,1007
74,2161
74,2388
74,2420
74,2565
74,3337
74,3499
75,30
75,33
75,857
75,1117
75,2338
75,3064
76,30
76,41
76,111
76,132
76,142
76,193
76,219
76,243
76,361
76,444
76,487
76,619
76,994
76,1002
76,1036
76,1179
76,1450
76,1973
76,1975
76,3056
76,3760
77,30
78,31
78,313
78,755
78,1641
78,1670
78,2685
78,3674
79,31
79,137
79,155
79,218
79,241
79,366
79,406
79,411
79,422
79,439
79,496
79,511
79,563
79,859
79,890
79,959
79,1097
79,1286
79,1500
79,1520
79,2020
79,2295
79,2347
79,2601
79,2633
79,2646
79,2693
79,2772
79,2955
79,3363
79,3456
79,3557
79,4179
79,4245
79,4340
79,4374
80,31
80,250
80,393
80,1033
80,1252
80,1574
81,32
81,46
81,100
81,834
81,855
81,1597
81,1898
81,2465
82,32
82,46
82,180
82,389
82,1057
82,1271
82,2284
82,4217
83,32
83,266
83,562
83,610
83,3914
84,33
84,843
84,1095
84,2008
85,33
85,638
85,1651
85,3521
86,34
86,1368
86,1877
87,35
87,336
87,662
87,847
87,897
87,939
87,1425
87,1657
87,2625
87,2725
87,4572
88,35
88,714
88,850
88,973
88,2133
88,2690
88,3114
88,3670
88,4495
89,35
89,598
89,1607
89,2643
89,2955
89,3193
89,3276
90,36
90,245
90,1222
90,3457
91,36
91,111
91,164
91,186
91,221
91,369
91,635
91,770
91,873
91,1133
91,1789
91,2297
91,2403
91,2765
91,2943
91,3358
91,3477
91,4224
91,4393
92,36
93,37
93,49
93,51
93,59
93,107
93,218
93,320
93,544
93,1047
93,1522
94,37
94,81
94,117
94,191
94,283
94,320
94,360
94,419
94,497
94,501
94,609
94,616
94,620
94,672
94,793
94,802
94,866
94,1142
94,1171
94,1215
94,1368
94,1378
94,1522
94,1594
94,2305
94,2477
94,3245
94,4062
95,37
95,875
95,2763
96,38
96,159
96,488
96,495
96,966
96,1189
96,1779
96,2403
96,2859
96,3951
97,39
97,194
97,459
97,476
97,861
97,968
97,1155
97,1276
97,1483
97,1721
97,1960
97,1976
97,2427
97,2450
97,2540
97,2983
97,3309
98,39
98,273
98,288
98,399
98,580
98,639
98,684
98,766
98,987
98,1102
98,1415
98,1468
98,1493
98,1653
98,1714
98,1873
98,2024
98,2054
98,2134
98,2186
98,2856
98,3005
98,3742
98,4189
98,4336
99,39
99,85
99,194
99,211
99,462
99,546
99,609
99,791
99,961
99,1066
99,1276
99,1303
99,1330
99,1972
99,2589
99,2779
99,3177
100,40
100,89
100,134
100,159
100,184
100,232
100,233
100,348
100,353
100,364
100,375
100,384
100,431
100,549
100,572
100,643
100,750
100,895
100,911
100,1090
100,1166
100,1314
100,1427
100,1533
100,1544
100,1650
100,1930
100,2116
100,2245
100,2580
100,2793
100,3005
100,4627
101,40
101,1801
101,2674
102,40
102,2922
102,4889
103,41
103,57
103,90
103,91
103,170
103,190
103,401
103,720
103,1132
103,2051
103,2063
103,3433
103,4148
103,4494
103,4742
104,42
104,145
104,251
104,453
104,518
104,603
104,1134
104,1155
104,1510
104,1570
104,2156
104,2364
104,2574
104,2597
104,3102
104,3653
104,4168
104,4289
104,4640
105,42
105,166
105,565
105,860
105,1224
105,1571
105,1801
105,1864
105,2061
105,2517
106,42
107,43
107,300
107,379
107,1269
107,2204
107,2622
107,3929
108,43
108,104
108,129
108,195
108,333
108,565
108,915
108,1405
108,2172
108,2439
108,2949
109,43
109,4843
110,44
110,1434
110,2032
110,2904
110,3574
111,44
111,200
111,396
111,535
111,1036
111,1486
111,1578
111,1619
111,1728
111,1787
111,2060
111,2538
111,2716
111,2769
111,2778
111,3242
111,3269
111,3735
111,4208
112,44
112,3851
113,45
113,311
113,756
113,1415
113,1616
113,1754
113,2186
113,2198
113,2809
113,2872
113,3271
113,3332
113,3631
113,3798
113,4089
113,4855
114,45
114,424
114,486
114,1902
114,3091
114,3530
115,45
115,599
116,46
117,47
117,62
117,165
117,328
117,529
117,740
117,1262
117,1660
117,1938
117,2238
117,2880
117,3138
117,3457
117,3754
117,3755
117,3814
117,3901
118,47
118,246
118,288
118,323
118,353
118,363
118,432
118,518
118,652
118,659
118,889
118,926
118,992
118,1034
118,1088
118,1152
118,1470
118,1505
118,1525
118,1580
118,1677
118,1704
118,1967
118,2066
118,2820
118,2914
118,3644
118,4274
118,4552
119,47
119,56
119,283
119,296
119,383
119,416
119,858
119,940
119,1407
119,1425
119,1438
119,1655
119,1666
119,1812
119,2187
119,2220
119,2425
119,2598
119,2678
119,3091
